window,clock,traffic_class,n_vehicles_departing,n_distinct_fcd,concurrent_mean,concurrent_max,speed_mean,speed_median,n_speed_samples
0,00:00-01:00,low,878,866,121.2,147,20.91143076136944,16.46,5871
1,01:00-02:00,low,1351,1326,174.93333333333334,222,24.44715856608753,28.58,9094
2,02:00-03:00,low,1845,1812,225.2,290,25.323562288450425,29.28,12113
3,03:00-04:00,low,2343,2312,283.93333333333334,344,25.853735383422702,29.49,15479
4,04:00-05:00,low,3679,3577,516.7333333333333,756,22.275577000000002,19.2,20000
5,05:00-06:00,low,7051,6832,1147.9166666666667,1802,17.7661995,14.18,20000
6,06:00-07:00,medium,16559,15915,3094.5333333333333,5190,16.367927500000004,13.67,20000
7,07:00-08:00,high,24156,22508,5389.533333333334,9165,14.907160999999999,13.17,20000
8,08:00-09:00,high,25510,23581,5972.183333333333,9525,14.664557,13.03,20000
9,09:00-10:00,high,16886,15914,3701.3333333333335,4601,14.1917755,12.98,20000
10,10:00-11:00,medium,10020,9716,1920.2166666666667,2411,13.671697,12.91,20000
11,11:00-12:00,medium,9501,9324,1613.0166666666667,1891,15.990332,13.5,20000
12,12:00-13:00,medium,17125,16686,3397.516666666667,5044,15.9602625,13.43,20000
13,13:00-14:00,high,17942,17425,3714.633333333333,5037,15.826292,13.45,20000
14,14:00-15:00,medium,12627,12373,2364.2166666666667,2861,16.339578000000003,13.65,20000
15,15:00-16:00,medium,9610,9385,1516.6333333333334,2187,16.820172,13.72,20000
16,16:00-17:00,medium,13971,13672,2884.1833333333334,4995,13.4668095,12.77,20000
17,17:00-18:00,high,20551,19994,5015.85,8997,13.012148,12.55,20000
18,18:00-19:00,high,23570,22974,6216.466666666666,10506,13.2621375,12.57,20000
19,19:00-20:00,high,20103,19699,4905.333333333333,7118,14.4559875,12.93,20000
20,20:00-21:00,medium,12486,12298,2230.05,2622,16.988769,13.84,20000
21,21:00-22:00,low,8311,8165,1288.1833333333334,1553,17.912041000000002,14.13,20000
22,22:00-23:00,low,6911,6791,1077.5,1251,17.251191,13.83,20000
23,23:00-00:00,low,5264,5187,861.4833333333333,1077,14.7276345,13.11,20000
