episode,reward,loss,latency,energy,cost,avg_q_value,wall_clock_s
1,-5.083369086382895,0.0,6.588513509711107,3.578224663054681,5.083369086382895,0.0,5.246
2,-5.494922871196613,0.0,7.116789469184798,3.873056273208428,5.494922871196613,0.0,4.391
3,-5.375761057484213,0.0,6.986140941372228,3.7653811735961984,5.375761057484213,0.0,4.425
4,-5.414810347714691,0.0,6.982228444455409,3.8473922509739737,5.414810347714691,0.0,4.31
5,-5.359343002927991,0.0,6.993263362041057,3.725422643814925,5.359343002927991,0.0,4.349
6,-5.878830944149943,0.0,7.556013916191448,4.201647972108438,5.878830944149943,0.0,4.277
7,-5.528385868719298,0.0,7.161495996788124,3.8952757406504723,5.528385868719298,0.0,4.286
8,-5.02179404028551,0.0,6.5811313159000395,3.4624567646709803,5.02179404028551,0.0,4.789
9,-5.3727497606413115,0.0,7.022604698370449,3.7228948229121754,5.3727497606413115,0.0,4.735
10,-5.298511200710557,0.0,6.870176183611413,3.7268462178096993,5.298511200710557,0.0,4.766
11,-5.228540072674958,0.0,6.825044525194399,3.6320356201555195,5.228540072674958,0.0,4.681
12,-5.713721134163964,0.0,7.402413413398525,4.0250288549294035,5.713721134163964,0.0,5.103
13,-5.424780673833742,0.0,7.019690305919518,3.82987104174797,5.424780673833742,0.0,4.917
14,-6.005154588841544,0.0,7.665049064808942,4.345260112874144,6.005154588841544,0.0,5.461
15,-5.548678882899361,0.0,7.150122519958038,3.9472352458406847,5.548678882899361,0.0,4.814
16,-5.191333776078093,0.0,6.717787649492289,3.6648799026638996,5.191333776078093,0.0,4.735
17,-5.414457325553301,0.0,7.041818943172245,3.787095707934357,5.414457325553301,0.0,4.54
18,-5.964917786403354,0.0,7.69723826695217,4.232597305854537,5.964917786403354,0.0,4.677
19,-5.888065320606932,0.0,7.581383109239015,4.1947475319748495,5.888065320606932,0.0,5.132
20,-4.941297418483696,0.0,6.476936723260358,3.405658113707034,4.941297418483696,0.0,4.573
21,-5.6755539650028615,0.0,7.287037524159512,4.064070405846214,5.6755539650028615,0.0,4.545
22,-5.283358671746664,0.0,6.835051359291615,3.7316659842017135,5.283358671746664,0.0,4.853
23,-5.473462016926434,0.0,7.077365868208959,3.869558165643909,5.473462016926434,0.0,4.501
24,-5.184056238293462,0.0,6.722324246276724,3.645788230310204,5.184056238293462,0.0,4.581
25,-4.993291483852223,0.0,6.535864382993977,3.4507185847104687,4.993291483852223,0.0,5.085
26,-5.293868034103899,0.0,6.8513662077464925,3.7363698604613056,5.293868034103899,0.0,4.692
27,-5.187709236469434,0.0,6.758692169382824,3.616726303556044,5.187709236469434,0.0,4.458
28,-4.882692576449097,0.0,6.364053157492902,3.401331995405292,4.882692576449097,0.0,4.532
29,-5.5313244016069145,0.0,7.116789564846557,3.9458592383672713,5.5313244016069145,0.0,4.47
30,-5.9587103995045485,0.0,7.5951439807851475,4.322276818223948,5.9587103995045485,0.0,4.567
31,-5.313946052709579,0.0,6.927318021254064,3.7005740841650976,5.313946052709579,0.0,4.477
32,-5.19331839050782,0.0,6.7365065998419595,3.650130181173683,5.19331839050782,0.0,4.482
33,-5.681388141786738,0.0,7.346565455956819,4.016210827616657,5.681388141786738,0.0,4.484
34,-5.979768729515812,0.0,7.657731438828284,4.30180602020334,5.979768729515812,0.0,4.482
35,-5.6140833887535155,0.0,7.315851087867051,3.9123156896399784,5.6140833887535155,0.0,4.48
36,-5.780848471897805,0.0,7.5247194009868,4.036977542808808,5.780848471897805,0.0,4.51
37,-5.240358922067746,0.0,6.764612159308813,3.7161056848266787,5.240358922067746,0.0,4.558
38,-5.878770529278982,0.0,7.539285129775988,4.218255928781975,5.878770529278982,0.0,4.566
39,-5.754063681465237,0.0,7.398228651641457,4.1098987112890155,5.754063681465237,0.0,4.447
40,-5.262450466782878,0.0,6.812361787669249,3.7125391458965074,5.262450466782878,0.0,4.489
41,-4.628207686129958,0.0,6.208652949289667,3.047762422970248,4.628207686129958,0.0,4.563
42,-5.783488146284863,0.0,7.443614261881268,4.1233620306884555,5.783488146284863,0.0,4.601
43,-4.945660634432901,0.0,6.493367701504594,3.397953567361209,4.945660634432901,0.0,4.519
44,-5.6427414459742185,0.0,7.333704979845667,3.9517779121027665,5.6427414459742185,0.0,4.449
45,-5.4703934154211735,0.0,7.025947867661767,3.9148389631805802,5.4703934154211735,0.0,4.943
46,-5.343397411430028,0.0,6.940632517725249,3.746162305134805,5.343397411430028,0.0,4.841
47,-5.452387133374235,0.0,7.101742465191356,3.8030318015571147,5.452387133374235,0.0,4.613
48,-5.178693594682941,0.0,6.647589925056799,3.7097972643090817,5.178693594682941,0.0,4.792
49,-5.570400071788357,0.0,7.277054724030742,3.863745419545973,5.570400071788357,0.0,4.479
50,-5.073509948670758,0.0,6.629661938762604,3.517357958578913,5.073509948670758,0.0,4.52
