[LuST] speed pool: 138896 mẫu, mean=13.09 m/s, median=12.56 m/s
[LuST-24h] speed pool: 442557 mẫu, mean=16.65 m/s, median=13.68 m/s
[LuST] speed pool: 138896 mẫu, mean=13.09 m/s, median=12.56 m/s
[LuST-24h] speed pool: 442557 mẫu, mean=16.65 m/s, median=13.68 m/s

[Classical] seed=2024
  [full] ep  1/50 | reward=-6.331 loss=0 lat=8.135s E=4.526J cost=6.331 avgQ=0.00 t=5.137s
  [full] ep  2/50 | reward=-5.393 loss=0 lat=7.039s E=3.748J cost=5.393 avgQ=0.00 t=4.408s
  [full] ep  3/50 | reward=-5.983 loss=0 lat=7.647s E=4.318J cost=5.983 avgQ=0.00 t=4.456s
  [full] ep  4/50 | reward=-4.861 loss=0 lat=6.408s E=3.315J cost=4.861 avgQ=0.00 t=4.616s
  [full] ep  5/50 | reward=-5.010 loss=0 lat=6.556s E=3.463J cost=5.010 avgQ=0.00 t=4.53s
  [full] ep  6/50 | reward=-5.818 loss=0 lat=7.465s E=4.171J cost=5.818 avgQ=0.00 t=4.511s
  [full] ep  7/50 | reward=-5.821 loss=0 lat=7.484s E=4.158J cost=5.821 avgQ=0.00 t=4.488s
  [full] ep  8/50 | reward=-5.846 loss=0 lat=7.567s E=4.125J cost=5.846 avgQ=0.00 t=4.471s
  [full] ep  9/50 | reward=-4.686 loss=0 lat=6.178s E=3.193J cost=4.686 avgQ=0.00 t=4.445s
  [full] ep 10/50 | reward=-5.498 loss=0 lat=7.089s E=3.907J cost=5.498 avgQ=0.00 t=4.513s
  [full] ep 11/50 | reward=-5.555 loss=0 lat=7.206s E=3.903J cost=5.555 avgQ=0.00 t=4.452s
  [full] ep 12/50 | reward=-6.385 loss=0 lat=8.101s E=4.670J cost=6.385 avgQ=0.00 t=4.375s
  [full] ep 13/50 | reward=-5.547 loss=0 lat=7.242s E=3.851J cost=5.547 avgQ=0.00 t=4.509s
  [full] ep 14/50 | reward=-6.223 loss=0 lat=8.028s E=4.419J cost=6.223 avgQ=0.00 t=4.459s
  [full] ep 15/50 | reward=-5.504 loss=0 lat=7.140s E=3.869J cost=5.504 avgQ=0.00 t=4.427s
  [full] ep 16/50 | reward=-5.163 loss=0 lat=6.719s E=3.607J cost=5.163 avgQ=0.00 t=4.562s
  [full] ep 17/50 | reward=-4.764 loss=0 lat=6.272s E=3.255J cost=4.764 avgQ=0.00 t=4.613s
  [full] ep 18/50 | reward=-5.852 loss=0 lat=7.577s E=4.128J cost=5.852 avgQ=0.00 t=4.527s
  [full] ep 19/50 | reward=-5.175 loss=0 lat=6.817s E=3.533J cost=5.175 avgQ=0.00 t=4.572s
  [full] ep 20/50 | reward=-5.586 loss=0 lat=7.275s E=3.898J cost=5.586 avgQ=0.00 t=4.63s
  [full] ep 21/50 | reward=-6.140 loss=0 lat=7.908s E=4.372J cost=6.140 avgQ=0.00 t=4.726s
  [full] ep 22/50 | reward=-5.736 loss=0 lat=7.382s E=4.090J cost=5.736 avgQ=0.00 t=4.443s
  [full] ep 23/50 | reward=-5.567 loss=0 lat=7.198s E=3.936J cost=5.567 avgQ=0.00 t=4.209s
  [full] ep 24/50 | reward=-6.109 loss=0 lat=7.831s E=4.386J cost=6.109 avgQ=0.00 t=4.034s
  [full] ep 25/50 | reward=-4.722 loss=0 lat=6.281s E=3.164J cost=4.722 avgQ=0.00 t=4.109s
  [full] ep 26/50 | reward=-5.505 loss=0 lat=7.155s E=3.855J cost=5.505 avgQ=0.00 t=4.098s
  [full] ep 27/50 | reward=-4.815 loss=0 lat=6.304s E=3.326J cost=4.815 avgQ=0.00 t=4.117s
  [full] ep 28/50 | reward=-5.737 loss=0 lat=7.442s E=4.033J cost=5.737 avgQ=0.00 t=4.081s
